	stddev	stddev_1M	VaR95_daily	current_ratio	quick_ratio	debt_ratio	gearing	leverage	net_leverage
HHFGn.DE	0,0186970	0,0134784	0,0364178	2,3318803	2,4503423	0,3169341	1,0089060	1,9784307	0,6313057
GSC1n.DE	0,0098646	0,0081567	0,0312455	2,1324248	3,2993216	0,2857390	0,6508241	2,2647047	
FAM1.F	0,0850946	0,0716615	0,1754715	11,6448496		0,0000000	0,0000000		
MUVGn.DE	0,0157367	0,0114341	0,0268746			0,0175923	0,1542324		
ODEG.F	0,0946001	0,0224037	0,1049068	1,0797406	1,2929641	0,3252389	0,7773149	1,8298309	
MXHNn.DE	0,0151539	0,0103838	0,0420062	1,5824548	1,9181754	0,2559051	0,6821190	2,3907693	1,8194115
VOSG.DE	0,0151525	0,0104678	0,0356249	1,4925184	2,0862288	0,2008058	0,6779208	2,9786553	2,5237593
DBANn.DE	0,0183228	0,0127958	0,0345299	3,2130150		0,0053032	0,0057241	0,0651986	
KSBG_p.DE	0,0185368	0,0137324	0,0361812	2,1507209	2,7717920	0,0935435	0,2974116	1,2083571	-0,7738542
PGAG.F	0,1171064	0,0574566	0,1398989	14,2863088		0,0000000	0,0000000	-0,0000000	
BYWG.DE	0,0202012	0,0111661	0,0454341	1,3504252	2,1280752	0,4501927	3,3564772	8,7797833	
TTOG.F	0,0765316	0,0728333	0,1084968	1,3841562		0,4496445	3,4091913		
AEIG.DE	0,0168177	0,0125932	0,0437711	1,9018402	1,9645708	0,3529984	1,0486512	4,7674917	1,1530700
SWOG.F	0,0162869	0,0127797	0,0551145	0,8596315		0,3934996	0,7388031	23,2321631	
VQTG.DE				0,6295781	0,8939710	0,4488328	1,8820800	5,3062329	
GLJn.DE	0,0181902	0,0100274	0,0325876	1,1905577		0,2477305	1,4572779	5,3997829	
TLGG.DE	0,0138931	0,0118969	0,0265245	3,0162175	3,0311751	0,3914495	0,8110210	8,0203304	6,7537385
BDTG.DE	0,0191990	0,0114876	0,0399262	1,6608290	1,6635480	0,0704110	0,1240285	0,3421130	-0,1575603
HBH.DE	0,0157784	0,0090391	0,0316475	1,7838724	2,8082164	0,2943752	0,7143615	3,1841182	1,0923763
BIJG.DE	0,0139394	0,0096294	0,0307505	7,0471566	8,9766383	0,0000000	0,0000000	0,0000000	
OLGG.F	0,0184628	0,0083706	0,0301917	1,7360818	2,8217229	0,3804427	2,9143958	18,9895626	
NSUG.DE	0,0124196	0,0088795	0,0233333	1,4289691	1,7220470	0,0598629	0,1599209	0,3715692	
EUCAn.DE	0,0276007	0,0132772	0,0382103	0,9025545	1,1179696	0,3389785	0,9501004	13,2561363	13,4204447
LUMG.F	0,1922192	0,1440306	0,1996498	1,2325058		0,0000495	0,0003192	0,0003258	
AGXG.F	0,1196328	0,1405292	0,2128505	6,1266166		0,0013468	0,0014927	-0,0050473	0,3952435
IPOG.F	0,0736280	0,0111664	0,0746690	1,0269115		0,3382417	0,6127332	3,2790405	
LEOGn.DE	0,0316246	0,0159814	0,0493865	1,3881431	1,8800342	0,2129862	0,6076112	2,0935762	1,5967935
MTVG.DE	0,0397316	0,0410751	0,0930288	1,4020283		0,7692093	15,9382347	87,3942392	
RAAG.DE	0,0162101	0,0114043	0,0349339	4,1944433	4,5227658	0,0589081	0,0798496	0,1675486	-1,3242947
MRCG.DE	0,0152215	0,0114497	0,0274158	0,7833529	1,0625599	0,3793781	1,1275934	3,9745032	3,5837432
ERMGk.DE	0,0302995	0,0167721	0,0480071	0,8186625	0,8201821	0,1379216	0,8398617	-0,5288134	-0,1428766
PNEGn.DE	0,0213180	0,0113948	0,0550024	2,7815056	4,2095029	0,5304079	1,5321422	13,1520999	10,6802092
HWAG.DE	0,0228496	0,0152750	0,0516791	1,5831771	1,5966075	0,6983232	3,6273164	9,0782154	7,9476686
WCMKk.F	0,0216682	0,0141783	0,0775571	0,3425633		0,4794327	1,0106061	43,8246225	45,6694326
MBHG_p.F	0,0134286	0,0081959	0,0353058	3,0531668	3,7753883	0,0000000	0,0000000	0,0000000	
HEZG.F	0,0252925	0,0274762	0,0568226	2,3438349	2,8347106	0,1253572	0,1778407	4,0060863	
HYQGn.DE	0,0356114	0,0207655	0,0447114	1,6220346		0,1172197	0,2149606	0,4250292	
LHAG.DE	0,0218275	0,0160717	0,0337860	0,7185012	0,7796896	0,2584560	1,4545770	2,5332126	1,0101887
MSGL.DE	0,0250977	0,0159862	0,0445718	2,3209971		0,1556480	0,2740600	1,6896692	0,2400538
CEAG.DE	0,0215349	0,0196741	0,0518341	1,4380332	2,2566536	0,2048750	0,7813287	1,6555212	
ECXn.F	0,0756484	0,0104422	0,0840008	2,0397501	2,2436116	0,0849341	0,1507467	-0,1242741	0,7449477
ADNGk.DE	0,0233042	0,0142987	0,0684375	1,4162045		0,1809648	0,5260790	1,5246442	
IURG.F	0,0237022	0,0179484	0,0432644	1,4509989	2,0801828	0,2943965	0,6517707	2,7744957	
CDBG.DE	0,0147727	0,0146742	0,0306427			0,0000000	0,0000000		
DAIGn.DE	0,0193591	0,0127216	0,0373451	1,1915647	1,4998119	0,4657359	1,8883516	5,4971466	-0,4597355
WACGn.DE	0,0261872	0,0143153	0,0448836	2,5324122	4,2457551	0,1443769	0,2105968	1,3338770	1,2871641
DUEG.DE	0,0247828	0,0138811	0,0405234	1,0695899	1,2988082	0,1994250	0,8544391	1,9942377	-0,1526513
SCMG.F	0,0398804	0,0414090	0,0902260	2,1473539	3,3054306	0,0356559	0,1935440	0,2373413	
BYWGnx.DE	0,0165547	0,0132898	0,0316347	1,3504252	2,1280752	0,4501927	3,3564772	8,7797833	6,6958748
TLIG.DE	0,1333642	0,1492255	0,1115119	0,2346677	0,2676001	6,7621998	-0,6617647	-3,6511920	
STRG.F	0,0167659	0,0091664	0,0512927	11,1578171		0,0000000	0,0000000		
PSAGn.DE	0,0140355	0,0097393	0,0412354	1,5611238	1,6152205	0,0173264	0,0472578	0,2245534	0,1591166
SPRGn.DE	0,0148184	0,0090283	0,0304809	0,8566784	0,8697490	0,1926146	0,6074078	2,3065169	1,9042867
SDFGn.DE	0,0257425	0,0199412	0,0452357	2,0347429	2,7841054	0,2037324	0,3925112	1,4561161	1,4399044
TISG.F	0,1411255	0,1825623	0,2012766	0,9473582	1,2538432	0,2346231	13,4589595	-10,3946429	
LIO1k.DE	0,0325503	0,0213269	0,0734717	3,1868776	3,2454599	0,1508587	0,2033036	-0,6311866	-1,2000596
BC8G.DE	0,0145940	0,0097134	0,0374644	1,9631165	2,3294552	0,0573869	0,1063722	0,4236423	-0,3235177
SGCG.DE	0,0373080	0,0173012	0,0477665	2,6101302	3,9522431	0,4012715	2,5744901	6,2588235	4,7174070
HLE.DE	0,0225128	0,0152095	0,0373287	1,8796054	2,3129986	0,2641597	0,6688803	1,6904307	0,4312597
WWGG.F	0,0257981	0,0091770	0,0303963	1,2771180	1,3523357	0,0636462	0,1369072	1,3088042	
BST1.DE	0,0192194	0,0227183	0,0255873	0,7868269	1,1416386	0,2929083	0,7032304	1,9102100	1,1318553
SZUG.DE	0,0206207	0,0139808	0,0340620	1,9458831	2,9715630	0,1596749	0,3407320	2,4941425	1,8775343
BIOG_p.DE	0,0244535	0,0101136	0,0391649	4,6645469	6,4030207	0,3579516	0,8360019	14,9826087	7,4844783
NDXG.DE	0,0261910	0,0161943	0,0597960	1,2978249	1,5469276	0,1417746	0,4543687	1,1255322	-0,8478381
MSAG.DE	0,0224024	0,0141513	0,0561880	0,9399160	1,4601599	0,3975470	1,2596789	2,7961544	3,1733346
GFTG.DE	0,0276469	0,0134835	0,0463396	1,6921627		0,2553084	0,6704590	1,8237535	0,3278629
VT9G.DE	0,0206194	0,0062080	0,0363259	0,9308072	0,9969797	0,5848512	2,3818498	5,5122178	5,4844943
MANG_p.DE	0,0053581	0,0033502	0,0336684	0,9253751	1,3350750	0,2864163	0,9472243	3,7833698	
FAOGn.DE	0,0178739	0,0063188	0,0521741	5,9650104		0,0000000	0,0000000	0,0000000	
H2Fn.DE	0,0699982	0,1326902	0,0562613	1,4636604	1,6766606	0,2911307	0,7835019	-0,8614117	
ACWNn.DE	0,0203895	0,0120424	0,0360538	3,8759519	5,5458275	0,1152143	0,1735921	0,9339433	0,0750540
EONGn.DE	0,0263709	0,0184267	0,0337759	1,1984511	1,2745784	0,1560518	1,0799197	2,8112819	0,8189259
JJO.F	0,0000000	0,0000000	0,1793700	5,0245145	5,4234947	0,0380661	0,0461375	0,1118550	
ADLG.DE	0,0201436	0,0152087	0,0566880	0,9793199	1,5053125	0,6963416	2,9778191	29,2303641	28,9963112
TKAG.DE	0,0286770	0,0161547	0,0413206	1,1309939	1,5193215	0,2446966	4,0827783	3,1539875	1,7829869
E4CG.DE	0,0200577	0,0170677	0,0565021	1,2064365	1,2064365	0,1021971	0,2620610	0,7523118	0,0146525
CURG.DE	0,0309070	0,0270704	0,0551935	3,7116645	5,4292267	0,0007951	0,0011312	0,0048100	0,8177008
YSNG.DE	0,0182832	0,0132144	0,0450814	2,1400053	2,5093020	0,0000000	0,0000000	0,0000000	
GFKG.DE	0,0236181	0,0103575	0,0343933	0,9112207		0,2840893	0,7428227	1,7843547	1,2888752
MTXGn.DE	0,0162071	0,0073840	0,0370237	0,9495470	1,3648780	0,2469017	0,9847786	2,0941638	1,6522464
GMMG.DE	0,0250813	0,0239443	0,0448006	1,7377470	2,1477641	0,2949981	1,1583427	3,6829824	2,5715602
SMHNn.DE	0,0292690	0,0180953	0,0560557	2,9499537	4,4649896	0,0885072	0,1320869	1,6772538	-2,1321249
ISHG.DE	0,0296917	0,0201361	0,0553743	2,5001750		0,1804477	0,3117761	1,8115104	-1,5225335
UN01.DE	0,0222291	0,0222291	0,0365635	0,9954410	1,0461161	0,2022417	0,8883895	12,9506048	
WUGG_p.DE	0,0123080	0,0130388	0,0322789	2,9525883	4,2389565	0,0008185	0,0012109	0,0067469	
OSPGk.DE	0,0224183	0,0139444	0,0395423	1,5112400	1,6288335	0,0037562	0,0055107	0,0348088	-1,8666874
BTTG.F	0,1959071	0,0898804	0,9623025						
BTCGk.F	0,0246854	0,0137704	0,1691447	1,4783439	2,2791416	0,6380043	2,2084070	-30,4420078	
FREG.DE	0,0165953	0,0184532	0,0276006	1,3611220	1,7342466	0,3416140	1,3242177	2,8873900	2,6538489
ARLG.DE	0,0230354	0,0109816	0,0539360			0,3788789	7,0242684		
TPEG.DE	0,0262626	0,0095108	0,0496698	1,5107178	2,1344566	0,1117933	0,2595398	4,0430152	3,1544449
ZO1G.DE	0,0194246	0,0116364	0,0419434	2,1906540	3,2507085	0,0000000	0,0000000	0,0000000	-1,3687307
S4AG.DE	0,0232841	0,0096424	0,0346314	2,8937865	3,7553676	0,0839630	0,1338716	1,8540645	-3,8486307
LING.DE	0,0189190	0,0221242	0,0279142	0,9632568	1,1359777	0,2704897	0,6558513	2,3376528	1,9867954
ADDG.DE	0,0222876	0,0137157	0,0379531	1,9434950	3,0423078	0,2911336	0,6757744	1,8695320	-0,0079151
ZALG.DE	0,0277711	0,0124725	0,0451564	2,2898747	2,8962890	0,0432318	0,0719679	0,7384988	-6,3474697
AAHG.F	0,0239402	0,0215814	0,0359832	2,7922417	4,5235762	0,1649098	0,2895850	3,0781234	3,0898006
COPMa.DE	0,0193355	0,0099018	0,0443153	0,8496215	0,8831907	0,4777005	1,9667327	3,3826621	2,9268358
HDDG.DE	0,0249888	0,0155530	0,0527851	1,8305291	2,6626460	0,2253803	1,7319955	1,8369125	1,7956053
HABG.DE	0,0119484	0,0106043	0,0287214	1,1804968		0,4377266	0,8479612	14,5442450	14,7705174
TC1n.DE	0,0173818	0,0142051	0,0337206	0,8202282	0,8711738	0,6177181	2,5143704	8,3149851	7,3918454
COKG.DE	0,0200569	0,0166707	0,0444685	1,7381464	1,9132669	0,1315729	0,2889136	0,8837574	-0,6291148
WIGGk.DE	0,0308942	0,0312149	0,0629771	0,9318799	0,9896651	0,2775652	1,5710729	4,0637476	2,4146813
IFAG.F	0,0267949	0,0256062	0,0437475	2,0054425	2,0403950	0,3121742	0,6269197	3,4545698	
G1AG.DE	0,0179406	0,0094757	0,0392023	1,6201152	1,8938257	0,0756284	0,1627987	0,7341957	-0,4342390
LEGn.DE	0,0144549	0,0117938	0,0223445	0,3751897	0,3816388	0,4505288	1,0922569	11,9572114	10,6179617
GBFG.DE	0,0241305	0,0163742	0,0410007	1,0323461	1,0876851	0,1053241	0,3747426	2,0580475	2,1017377
P1ZGn.DE	0,0229131	0,0163297	0,0529606	1,3949483	2,4670007	0,5446814	1,7040381	66,2118594	14,8614422
KWGG.DE	0,0419915	0,0284662	0,0374798	2,0357479	2,0514035	0,0637272	0,1237575	-0,7707961	
INHG.DE	0,0163708	0,0094497	0,0313232	1,8034093	2,6614070	0,3441038	0,8241706	2,6613590	2,0742717
LPKG.DE	0,0258822	0,0200470	0,0475877	1,8159844	2,9179514	0,3459603	0,6473441	18,6004525	14,2017466
BHSG.F	0,0277356	0,0272048	0,0428304	3,2069871	4,8053586	0,0153933	0,0470476	0,1367163	
MEDG.DE	0,0173768	0,0127525	0,0337520	1,9840723	2,0931087	0,1646484	0,3200185	1,2906174	1,9154818
ZEFG.DE	0,0332538	0,0302105	0,0672674	1,4531547	1,4710126	0,4428093	1,2098628	-11,2560954	-0,4352198
M3VGn.DE	0,0151909	0,0246140	0,0590371	2,4608003		0,1041296	0,1406208	0,7401685	-2,2784020
EV4G.DE	0,0187892	0,0235831	0,0389016	0,7851413	0,7977353	0,3849083	10,0221247	1,9154920	0,8930161
VSCk.DE	0,0407385	0,0339632	0,0578796	4,0076882	4,0112641	0,0000000	0,0000000	-0,0000000	1,7978069
MPRKk.F	0,0646682	0,0833216	0,2302369	34377,0000000	34377,0000000	0,0000291	0,0000363	0,0003604	
NOEJ.DE	0,0182943	0,0067562	0,0333927	2,3016449	3,1004274	0,3915149	1,0660484	2,5837845	1,8558324
RY8.DE	0,0906078	0,0669251	0,1611595	25,1825740	25,2088460	0,0024528	0,0025066	0,0969758	
RHMG.DE	0,0224392	0,0122159	0,0402705	1,5070905	2,0088020	0,1434555	0,5509383	1,7232704	1,6334233
WTBG.F	0,2166535	0,1363967	0,2015110	1,3838204	1,5702377	0,1376264	1,3226937	3,3372279	
M5ZG.DE	0,0450725	0,0298296	0,0655412	1,0621918	1,3018025	0,2835031	0,6856311	-2,0220895	-0,9870372
TLXGn.DE	0,0155664	0,0087711	0,0222174			0,0221524	0,4085970		
KPHG.F	0,3787909	0,5053893	0,2681468	0,9949946	1,2429384	0,0476023	0,1087034	-0,1618876	
KA8Gn.DE	0,0271029	0,0182936	0,0404959	0,6680565	0,7387074	0,2128382	0,4209864	-2,6604775	-2,0636605
MPSG.F	0,1988550	0,0051227	0,4433004	2,2933317	2,9564770	0,6014514	2,4058084	7,9662830	9,4255329
STBGn.F	0,0245849	0,0148691	0,0398154	1,1647334	1,2568580	0,0926788	0,1862844	0,9636016	
ADSGn.DE	0,0151900	0,0117741	0,0302894	1,3976510	1,9780015	0,1445702	0,3404518	1,3321823	0,4092788
WL6G.DE	0,0355297	0,0197272	0,0700931	0,7906037	0,8972968	0,0000000	0,0000000	-0,0000000	-0,1119119
ECKG.DE	0,0169825	0,0164930	0,0310200	1,7037273	3,0088078	0,2842709	0,4723730	3,0008801	3,4525524
ALVG.DE	0,0184370	0,0123107	0,0355341			0,0378506	0,5088845		
SBSG.DE	0,0214007	0,0151252	0,0413787	5,7934858	6,6516312	0,0512398	0,0625115	0,2524723	-1,6724240
ML2K.F	0,1050833	0,0773591	0,1405439	5,2916388	5,4440308	0,0000000	0,0000000	0,0000000	
ARXG.F	0,2733960	0,0269447	0,2820990	0,4729789	0,5493326	0,1581534	10,8234056	-18,8635363	
SURG.DE	0,0180775	0,0087475	0,0360809	2,7148229	3,9385603	0,3307276	0,6490187	3,4974600	2,3040410
JENG.DE	0,0188303	0,0137273	0,0392088	2,3482716	3,3641420	0,1665347	0,2936478	1,3738725	0,9604966
HNKG_p.DE	0,0130499	0,0116933	0,0257902	1,0896345	1,3607435	0,0403172	0,0658810	0,2676978	-0,0700146
FRAG.DE	0,0153584	0,0096345	0,0309030	0,8334842	0,8722172	0,4314763	1,1105810	4,4695001	3,5979466
EXJ.F	1,0032315	0,1670263	0,4893959	103,5490196		0,0000000	0,0000000	-0,0000000	
UP7G.F	0,0442222	0,0310249	0,0689927	1,7456127	1,9414267	0,0696836	0,0840018	0,7479977	-1,1069870
EVDG.DE	0,0168322	0,0131022	0,0359285	1,1083716	1,1119011	0,3601412	1,1869742	2,2199574	-0,9040771
DEXGn.DE	0,0285632	0,0272878	0,0418008	1,1173634	1,7574284	0,0946529	0,3033557	0,8272961	-0,4698683
PSHG_p.DE	0,0252632	0,0132220	0,0456858	13,0000000		0,0108593	0,0110652		
SING.F	0,0197392	0,0187029	0,0359902			0,0000000	0,0000000	0,0000000	
DRWG.DE	0,0199283	0,0130907	0,0316747	1,7092551	2,1997186	0,1387338	0,3395784	2,0327026	1,7930514
VMR1k.F	0,0257655	0,0098693	0,0706776			0,3499867	0,8685484	-16,2860301	
BIOG.DE	0,0242396	0,0126399	0,0391282	4,6645469	6,4030207	0,3579516	0,8360019	14,9826087	
USEG.DE	0,0579179	0,0402440	0,0608236	1,3034536	1,9306506	0,3820133	3,3523168	-5,2743760	
YB1.F	0,2294168	0,4145694	0,3075641	0,3550105		0,0000000		0,0000000	
PITG.F	0,0370058	0,0290367	0,0904115						
UUUG.DE	0,0322145	0,0176495	0,0504986	1,9581270	2,5285726	0,3668246	0,7078832	6,9799356	
MGNG.DE	0,0578802	0,0672528	0,0541048	3,7730177	3,7770839	0,0003031	0,0004102	-0,0003918	-1,2196591
PWOG.DE	0,0190788	0,0141437	0,0300574	1,4702174	2,2708244	0,4189773	1,4091901	3,4676038	3,6990192
KWSG.DE	0,0153938	0,0117645	0,0345373	2,7949851	3,5159498	0,2008372	0,3769024	1,7729882	1,0746239
PS4G.DE	0,0341079	0,0173086	0,0771590	1,7009965	1,7927517	0,7507110	-4,8726014	-169,2869198	-168,7763713
AFXG.DE	0,0178940	0,0125296	0,0329393	2,9992025	3,7278181	0,0266965	0,0417504	0,1908248	-1,6579346
FRSG.DE	0,0270845	0,0557728	0,0520231	6,4000947	8,7674877	0,0000000	0,0000000	0,0000000	
F3CG.DE	0,0335399	0,0628184	0,0551145	1,6221581	2,2955819	0,1199442	0,2599806	-3,8838204	-1,8267095
SAPG.DE	0,0140454	0,0106243	0,0258189	1,2379560		0,2220343	0,3949800	1,4913989	0,9643539
MDNG.DE	0,0107276	0,0102631	0,0389995	1,8996658	2,5355151	0,1075463	0,2211559	2,4426429	
HAWG.DE	0,0121299	0,0124229	0,0289350	1,5049627	2,3721200	0,0604040	0,1559256	0,4849702	0,0525951
DMRE.DE	0,0156547	0,0091460	0,0700303	1,0006452	1,0328766	0,6343406	2,8402580	15,8186230	
EISG.F	0,0226814	0,0171194	0,0382973	386,3623188		0,0000000	0,0000000	-0,0000000	
HNRGn.DE	0,0163734	0,0107419	0,0332028			0,0284480	0,2228879		
SNGGk.DE	0,1085676	0,0313786	0,0755183						
DEQGn.DE	0,0118194	0,0081021	0,0252356	1,2117729		0,3654590	0,7962213	7,9706397	7,7995379
EUZG.DE	0,0133815	0,0100996	0,0360807	2,2584381	2,8960444	0,0789522	0,1557551	1,2006495	-0,0695894
AVES.DE				0,3627814		0,8913049	12,4373466	29,0028015	
ELNk.F	0,0612979	0,0375340	0,1209223	0,9413899		0,0000000	0,0000000		
IXXG.DE	0,0230755	0,0158613	0,0368336	1,8769831	2,2951007	0,1351029	0,2759888	1,2644175	0,0830003
ABAG.F	0,0137241	0,0066749	0,0303952	1,2268627	1,3829922	0,0493935	0,1944391	0,4481586	
BNRGn.DE	0,0171470	0,0110021	0,0256601	1,7820461	2,2979470	0,3226542	0,8505517	2,8013690	2,1159237
BOSSn.DE	0,0275766	0,0113667	0,0414730	1,7626801	2,7148818	0,0980090	0,1845445	0,2970484	0,1093558
NWXG.F	0,0139921	0,0163724	0,0358233	1,6771612	1,8827530	0,0888487	0,2849667	2,4467073	
RTCG.DE	0,0428467	0,0147270	0,0504288	1,0951444		0,2594228	0,5523029	-7,9238358	-2,2810479
MAKG.DE	0,0426799	0,0252417	0,0788719	0,4913042	0,5057249	0,6711699	-23,4844484	5,9892988	6,6377310
FVIG.DE	0,0173631	0,0129064	0,0404014	0,8730740		0,4362223	1,2288153	9,5394850	8,7575296
LO24n.DE	0,0193810	0,0157263	0,0431901	1,4171548		0,0874607	0,1405468	-0,2659004	0,1845671
HWSAk.F	0,0964893	0,1326870	0,0842014	0,9282883	1,3228571	0,0295843	-0,1601677	0,6901536	
ZILGn.DE	0,0254624	0,0144317	0,0435419	1,6306296	2,3899345	0,3033702	0,6519840	2,4047593	2,0937108
SYTG.DE	0,0252217	0,0160760	0,0388195	1,9365071	2,4466966	0,1117551	0,2175617	0,8502768	0,7564576
EMQG.DE	0,7191011	1,4475621	0,4959442	1,1102730	1,6039520	0,4089630	1,1164118	17,9505882	
BVB.DE	0,0161693	0,0117279	0,0388196	1,5452158	1,6741064	0,0509487	0,0698774	0,2495731	-0,4326857
SATG.DE	0,0401029	0,0114851	0,0497046	1,7618638	2,4622956	0,3211806	0,8916007	1,7064823	
WBAG.DE	0,0499987	0,0626523	0,1006406	0,4364137	0,4541359	0,4932536	-5,1054933	3,9046141	
B5AG.DE	0,0234299	0,0178397	0,0478068	1,5461049	2,2079581	0,4299539	1,6233496	7,9007408	7,1008192
AYDGn.DE	0,0360906	0,0323827	0,0652778	0,6770012		0,0981694	0,7337202	0,4124891	
SZGG.DE	0,0331221	0,0171783	0,0478287	2,1521054	2,9760997	0,1006211	0,2926993	1,5796604	0,7415576
CEVG.DE	0,0143114	0,0079332	0,0435496	2,0438190	2,6658664	0,2005361	0,4027361	1,7316985	0,9785647
TTRGn.DE	0,0222009	0,0167897	0,0432898	3,1175712	4,1948674	0,1134753	0,1698722	0,7472290	-0,8133530
UTDI.DE	0,0181811	0,0091876	0,0386761	0,5829729	0,6268425	0,4347875	1,4670307	1,6547116	1,2105091
BAYGn.DE	0,0171696	0,0118211	0,0299217	1,4028857	1,9064193	0,2593314	0,7899856	1,8263148	1,8049190
MZXG.DE	0,0130294	0,0065938	0,0411918	1,6249837	2,5070917	0,3691175	0,7717487	2,5793254	1,8981660
TTIGn.DE	0,0319304	0,0219300	0,0421826	1,1975124	1,8947255	0,3255058	1,2153132	3,4245597	2,7443311
HOZG.F	0,2726210	0,5402900	0,2669839	1,2911498	1,6998583	0,2974551	9,1328777	20,2240295	
SATG_p.DE	0,0229753	0,0112560	0,0397463	1,7618638	2,4622956	0,3211806	0,8916007	1,7064823	1,2918384
TCUG.F	0,1951755	0,2786840	0,1660610	1,3559511	1,4102507	0,0000000	0,0000000	-0,0000000	
KBCG.DE	0,0321323	0,0167876	0,0424398	2,1901789	2,9188308	0,1296042	0,2210869	1,5369113	0,3569033
SWEGn.DE	0,0204318	0,0135960	0,0744923	2,8268960	3,6672996	0,0831169	0,1504352	0,7825813	0,1893342
KSBG.DE	0,0174361	0,0108651	0,0366203	2,1507209	2,7717920	0,0935435	0,2974116	1,2083571	1,1445712
HNKG.DE	0,0131627	0,0099702	0,0247679	1,0896345	1,3607435	0,0403172	0,0658810	0,2676978	0,0609756
MDG1k.DE	0,0349402	0,0370685	0,0575631	6,1982616	6,8867964	0,1036281	0,1307397	-1,2390732	-0,4657188
MEOG.DE	0,0207175	0,0161555	0,0348259						
VVAGk.F	0,0370607	0,0430274	0,0951292	0,8760382	1,1362772	0,5542490	-3,2710496	7,9427607	
MEOG_p.DE	0,0175239	0,0086465	0,0453526						
LNSX.F	0,0185414	0,0176894	0,0309572	0,9830363	1,1989329	0,0874098	0,5454393	0,4335761	1,7494050
WAFGn.DE	0,0311770	0,0327826	0,0457411	3,1301695	4,0976271	0,0370869	0,0771229	0,2265258	-0,1507189
OHBG.DE	0,0153537	0,0121499	0,0378548	1,3730147	1,5299294	0,2198928	0,9040823	2,6939868	2,7601803
B8FGn.DE	0,0314517	0,0192501	0,0685610	2,3474567	2,8458918	1,2737531	-2,5155640	-1,2844054	
PUMG.DE	0,0183284	0,0203325	0,0311620	1,9145455	2,6611364	0,0082815	0,0134674	0,1410923	-1,7422999
SNGGk.F				1,9586777	2,7548209	0,6862106	-2,8214286	-5,7454545	-2,3727273
